,precision,recall,jaccard,macrof1
York_Canola,0.8149510503739724,0.8335700733490603,0.7348603317282448,0.8204494726310247
T1_Miling_ARG,0.8034300603694915,0.805934288489074,0.6967325784783146,0.7938195941775509
T2_Miling_ARG,0.8045086616845549,0.8109791203709878,0.7027225457532305,0.8010557149902494
